央视,#genre#
探索纪录,http://192.168.25.3:50101/TVOD/5359008697329269813/wasusyt/index.m3u8$2.5M720_华数
中国教育1,http://192.168.25.3:50101/TVOD/6000000003000018981/wasusyt/index.m3u8$1.8M576_华数
中国教育2,http://192.168.25.3:50101/TVOD/2000000003000000047/hnbblive/index.m3u8$4M576_湖南bblive
中国教育4,http://192.168.25.3:50101/TVOD/6000000005000042312/wasusyt/index.m3u8$1.8M576_华数
中国天气,http://192.168.25.3:50101/TVOD/2000000002000000057/hnbblive/index.m3u8$3.5M540_湖南bblive
中华美食,http://192.168.25.3:50101/TVOD/2000000003000000052/hnbblive/index.m3u8$4M576_湖南bblive
家庭理财频道,http://192.168.25.3:50101/TVOD/2000000002000000064/hnbblive/index.m3u8$2.5M576_湖南bblive
高清娱乐,http://192.168.25.3:50101/TVOD/2000000004000000013/hnbblive/index.m3u8$2.5M720_湖南bblive
高清娱乐,http://192.168.25.3:50101/TVOD/6000000003000001569/wasusyt/index.m3u8$2.5M720_华数
黑莓电影,http://192.168.25.3:50101/TVOD/2000000003000000001/hnbblive/index.m3u8$4M1080_湖南bblive
华数服务,http://192.168.25.3:50101/TVOD/2000000004000000025/hnbblive/index.m3u8$4M720_湖南bblive
精彩影视,http://192.168.25.3:50101/TVOD/2000000004000000063/hnbblive/index.m3u8$7.2M1080_湖南bblive
精彩影视,http://192.168.25.3:50101/TVOD/6000000006000320630/wasusyt/index.m3u8$6.5M1080_华数
聚鲨环球精选,http://192.168.25.3:50101/TVOD/6000000004000014516/wasusyt/index.m3u8$1.8M576_华数
漫游世界,http://192.168.25.3:50101/TVOD/2000000004000000017/hnbblive/index.m3u8$2.5M720_湖南bblive
漫游世界,http://192.168.25.3:50101/TVOD/6000000003000028434/wasusyt/index.m3u8$2.5M720_华数
淘BABY,http://192.168.25.3:35455/bptv/10000100000000050000000003887496.m3u8
淘剧场,http://192.168.25.3:35455/bptv/10000100000000050000000003887497.m3u8
淘电影,http://192.168.25.3:35455/bptv/10000100000000050000000003887498.m3u8
淘娱乐,http://192.168.25.3:35455/bptv/10000100000000050000000003887499.m3u8
